year,state,medianincome,se,footnote
2004,Idaho,55595,1738,none
2004,Illinois,57750,1031,none
2004,Indiana,53052,1443,none
2004,Iowa,54383,1906,none
2004,Kansas,51469,2192,none
2004,Kentucky,44631,1527,none
2004,Louisiana,45658,1558,none
2004,Maine,51799,1533,none
2004,Maryland,71569,2121,none
2004,Massachusetts,65197,2089,none
2004,Michigan,52961,1075,none
2004,Minnesota,70317,1341,none
2004,Mississippi,43560,1419,none
2004,Missouri,52812,1345,none
2004,Montana,42558,889,none
2004,Nebraska,54878,1669,none
2004,Nevada,59162,1732,none
2004,New Hampshire,71208,1659,none
2004,New Jersey,69278,1608,none
2004,New Mexico,49584,1985,none
2004,New York,55960,993,none
2004,North Carolina,50432,1018,none
2004,North Dakota,49156,1568,none
2004,Ohio,53962,1225,none
2004,Oklahoma,49650,1406,none
2004,Oregon,51379,1317,none
2004,Pennsylvania,55280,1302,none
2004,Rhode Island,60079,2472,none
2004,South Carolina,48493,1280,none
2004,South Dakota,51521,1247,none
2004,Tennessee,47717,1325,none
2004,Texas,51884,688,none
2004,Utah,63758,1162,none
2004,Vermont,59319,1592,none
2004,Virginia,64097,1399,none
2004,Washington,62569,1339,none
2004,West Virginia,41827,1470,none
2004,Wisconsin,57317,1676,none
2003,United States,55759,242,none
2003,Alabama,47954,2034,none
2003,Alaska,66724,1263,none
2003,Arizona,52989,1830,none
2003,Arkansas,41193,999,none
2003,California,63459,1054,none
2003,Colorado,64283,1491,none
2003,Connecticut,70751,2009,none
2003,Delaware,63097,1774,none
2003,D.C.,57980,1825,none
2003,Florida,50165,977,none
2003,Georgia,54626,1260,none
2003,Hawaii,66720,1715,none
2003,Idaho,54541,1264,none
2003,Illinois,58121,1380,none
2003,Indiana,54609,1234,none
2003,Iowa,53269,1138,none
2003,Kansas,56935,1707,none
2003,Kentucky,47544,1103,none
2003,Louisiana,43130,1420,none
2003,Maine,47772,1216,none
2003,Maryland,67338,1574,none
2003,Massachusetts,65589,1227,none
2003,Michigan,57952,1223,none
2003,Minnesota,67993,1581,none
2003,Mississippi,42127,1433,none
2003,Missouri,56330,1126,none
2003,Montana,43904,1373,none
2003,Nebraska,56603,1681,none
2003,Nevada,58161,2000,none
2003,New Hampshire,71526,1679,none
2003,New Jersey,72141,1317,none
